title,product_description,rating,reviews_count,variations,tags,product_details,amount_of_stars,item_price,total_price,product_specifications,product_category,1_star,2_stars,3_stars,4_stars,5_stars,negative_reviews
Apple iPhone 15 128GB Blue,"[""1GB Extra Data"",""Become a Super Recruiter and earn rewards"",""Earn £5 when recommending a friend"",""Free EU Roaming"",""Free calls and texts to same network""]",4.6,17464,"[{""variation_name"":""Color"",""variation_value"":""Blue""},{""variation_name"":""Color"",""variation_value"":""Black""},{""variation_name"":""Color"",""variation_value"":""Black -Apple""},{""variation_name"":""Color"",""variation_value"":""Blue -Apple""},{""variation_name"":""Color"",""variation_value"":""Green""},{""variation_name"":""Color"",""variation_value"":""Green -Apple""},{""variation_name"":""Color"",""variation_value"":""Pink""},{""variation_name"":""Color"",""variation_value"":""Pink -Apple""},{""variation_name"":""Color"",""variation_value"":""Yellow""},{""variation_name"":""Color"",""variation_value"":""Yellow -Apple""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB / 256GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB""}]","[""Smartphone"",""Single SIM"",""iOS"",""Blue"",""Water Resistant"",""Telephoto""]","Dynamic Island Comes To iphone 15 Dynamic Island bubbles up alerts and Live Activities so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status and so much more. Innovative Design iphone 15 features a durable colour-infused glass and aluminium design. It’s splash, water and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 15.54 cm (6.1 in) Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14. 48mp Main Camera With 2x Telephoto The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up. Next-Generation Portraits Capture portraits with dramatically more detail and colour. Just tap to shift the focus between subjects even after you take the shot. Powerhouse A16 Bionic Chip The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life. USB-C Connectivity The USB-C connector lets you charge your Mac or iPad with the same cable you use to charge iphone 15. You can even use iphone 15 to charge Apple Watch or AirPods. Vital Safety Features With Crash Detection, iPhone can detect a severe car crash and call for help if you can’t.Designed To Make A Difference iPhone comes with privacy protections that help keep you in control of your data. It’s made from more recycled materials to minimise environmental impact. And it has built-in features that make iPhone more accessible to all.","{'1_star': 1011, '2_stars': 207, '3_stars': 512, '4_stars': 1338, '5_stars': 14396}",647.760162412993,1149.87,"[{""specification_name"":""Internal Memory"",""specification_value"":""128 GB""},{""specification_name"":""Type of plug"",""specification_value"":""Plug EU""}]",iPhone,1011,207,512,1338,14396,1218
Apple iPhone 7 - 128 GB - Silver - Unlocked - CDMA/GSM,"[""4.7” Retina HD display with 1334 x 750 pixel resolution"",""128 GB storage capacity"",""12 MP rear camera with 4 K video capabilities and 7 MP front facing FaceTime HD camera"",""Carrier unlocked and works on CDMA/GSM networks"",""Up to 14 hours of talk time and mobile data connection""]",4.3,48831,"[{""variation_name"":""Color"",""variation_value"":""Silver""},{""variation_name"":""Color"",""variation_value"":""(Gold/White), Silver. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""(Product)Red""},{""variation_name"":""Color"",""variation_value"":""Black""},{""variation_name"":""Color"",""variation_value"":""Gold""},{""variation_name"":""Color"",""variation_value"":""Jet Black""},{""variation_name"":""Color"",""variation_value"":""Matte Black""},{""variation_name"":""Color"",""variation_value"":""Red""},{""variation_name"":""Color"",""variation_value"":""Rose Gold""},{""variation_name"":""Color"",""variation_value"":""Rose Gold, Pink. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Space Gray. Not available with current configuration.""},{""variation_name"":""Capacity"",""variation_value"":""16 GB""},{""variation_name"":""Capacity"",""variation_value"":""32 GB""},{""variation_name"":""Capacity"",""variation_value"":""32GB 128GB 256GB""},{""variation_name"":""Capacity"",""variation_value"":""64 GB""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""128GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""},{""variation_name"":""Capacity"",""variation_value"":""Gsm""}]","[""Smartphone"",""Single SIM"",""4G"",""Unlocked"",""iOS"",""GSM"",""CDMA"",""Fingerprint Scanner"",""1334 x 750"",""Lightning""]",Not Available,"{'1_star': 3901, '2_stars': 1436, '3_stars': 2496, '4_stars': 8338, '5_stars': 32660}",1499.99,1660.33,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A1660""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""67.1 mm""}]",iPhone,3901,1436,2496,8338,32660,5337
Apple iPhone 15  - 128 GB - Green - Unlocked,"[""All-day battery life"",""Dynamic Island"",""Tough all around"",""A display that shines in bright sunlight"",""48MP main camera"",""Night mode"",""A front camera autofocused on you"",""4K HDR videos"",""Magical portraits"",""A16 Bionic chip""]",4.6,17464,"[{""variation_name"":""Color"",""variation_value"":""Green""},{""variation_name"":""Color"",""variation_value"":""Black""},{""variation_name"":""Color"",""variation_value"":""Blue""},{""variation_name"":""Color"",""variation_value"":""Pink""},{""variation_name"":""Color"",""variation_value"":""Yellow""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB""},{""variation_name"":""Connectivity"",""variation_value"":""AT&T""},{""variation_name"":""Connectivity"",""variation_value"":""T-Mobile""},{""variation_name"":""Connectivity"",""variation_value"":""Unlocked""},{""variation_name"":""Connectivity"",""variation_value"":""Verizon""}]","[""Smartphone"",""Dual SIM"",""5G"",""With Wireless Charging"",""Unlocked"",""Dual Lens"",""iOS"",""GSM"",""With Expandable Storage"",""Facial Recognition""]","The Apple iPhone 15 features color-infused back glass with a stunning, textured matte finish, and a contoured edge on the aluminum enclosure. Furthermore, there is Dynamic Island, and an advanced camera system designed to help users take fantastic photos of everyday moments in their lives. A powerful 48MP main camera enables super-high-resolution photos and a 2x telephoto option to give users a total of three optical zoom levels - like having a third camera. The iPhone 15 also introduces the next generation of portraits, making it easier to capture portraits with great detail and low-light performance. With A16 Bionic for powerful, proven performance, USB‐C compatibility and excellent durability features, iPhone 15 is truly a powerhouse.","{'1_star': 1011, '2_stars': 207, '3_stars': 512, '4_stars': 1338, '5_stars': 14396}",729.0,791.09,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2846""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Water-resistant, splash-resistant, dust-resistant""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1011,207,512,1338,14396,1218
"Apple iPhone Xr - 128 GB, White","[""In every way."",""Liquid Retina Introducing the most advanced LCD in the industry."",""Face ID Your face is your password.""]",4.5,61871,"[{""variation_name"":""Color"",""variation_value"":""White""},{""variation_name"":""Color"",""variation_value"":""Black""},{""variation_name"":""Color"",""variation_value"":""Blue""},{""variation_name"":""Color"",""variation_value"":""Coral""},{""variation_name"":""Color"",""variation_value"":""Red""},{""variation_name"":""Color"",""variation_value"":""Yellow. Not available with current configuration.""},{""variation_name"":""Capacity"",""variation_value"":""64GB""},{""variation_name"":""Capacity"",""variation_value"":""128GB""},{""variation_name"":""Capacity"",""variation_value"":""256GB""}]","[""Smartphone"",""Dual SIM"",""4G"",""With Wireless Charging"",""With Fast Charging"",""Unlocked"",""iOS"",""GSM"",""Facial Recognition"",""Lightning""]","Fully tested and Data wiped. Re boxed with new accessories including data charging cable, wall charging plug, sim extractor pin. Avoid being tied into a contract, buy the iPhone XR outright. Featuring a 6.1-inch LCD, a 12-megapixel single-lens rear camera, and an A12 chip. The iPhone XR features a precision-machined 7000 Series aerospace-grade aluminum frame that wraps around an all-glass enclosure with the same durable glass used in the more expensive iPhone XS. Apple designed the iPhone XR in six colors : white, black, blue, coral, yellow, and (PRODUCT)RED.","{'1_star': 3133, '2_stars': 1202, '3_stars': 2374, '4_stars': 7668, '5_stars': 47494}",647.760162412993,504.26,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2105""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""75.7 mm""}]",iPhone,3133,1202,2374,7668,47494,4335
Apple iPhone 15 Pro - 128 GB - Black Titanium,"[""6.1\"" Super Retina XDR display"",""Triple 48MP + 12MP + 12MP Camera System"",""A17 Pro chip with 6-Core GPU"",""128GB / 256 /512GB / 1TB Internal Storage"",""IP68 Water Resistance"",""Emergency SOS"",""5G Connectivity"",""Dual SIM Nano + eSIM""]",4.5,17683,"[{""variation_name"":""Color"",""variation_value"":""Black Titanium""},{""variation_name"":""Color"",""variation_value"":""Blue Titanium""},{""variation_name"":""Color"",""variation_value"":""Natural Titanium""},{""variation_name"":""Color"",""variation_value"":""White Titanium""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""}]","[""Single SIM"",""5G"",""With Wireless Charging"",""Unlocked"",""iOS"",""GSM"",""Facial Recognition"",""Black Titanium"",""Water Resistant""]","The Apple iPhone 15 Pro 128GB Black Titanium is a compact device with excellent cameras. Thanks to the powerful A17 Pro chip, even the most demanding apps respond quickly and you can play 3D games without slowing down. You can take sharp photos in every situation with the 3 cameras. With the telephoto lens, you can zoom in up to 3 times without losing quality. You can give the new action button a function. You can make it quickly open your camera, for example. You can quickly control apps like Spotify via Dynamic Island, the menu at the top of your screen. You only have 128GB storage, so you regularly have to delete apps and photos. If you choose the 256GB storage, you don't have to do that. Do you like to watch movies and series on a large screen? Choose the iPhone 15 Pro Max. The iPhone 15 series has a USB-C port, so you can't use your old Lightning accessories anymore.","{'1_star': 1407, '2_stars': 344, '3_stars': 639, '4_stars': 1264, '5_stars': 14029}",647.760162412993,1282.79,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A3102""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""70.6 mm""}]",iPhone,1407,344,639,1264,14029,1751
Apple iPhone 15 Pro Max 1TB Black Titanium,"[""Become a Super Recruiter and earn rewards"",""Double Data"",""Earn £5 when recommending a friend"",""Free EU Roaming"",""Free calls and texts to same network""]",4.6,29083,"[{""variation_name"":""Color"",""variation_value"":""Black Titanium""},{""variation_name"":""Color"",""variation_value"":""A3082. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""A3290. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Beige""},{""variation_name"":""Color"",""variation_value"":""Blue Titanium""},{""variation_name"":""Color"",""variation_value"":""Clear""},{""variation_name"":""Color"",""variation_value"":""Desert Titanium. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Gray""},{""variation_name"":""Color"",""variation_value"":""Natural Titanium""},{""variation_name"":""Color"",""variation_value"":""Off-White""},{""variation_name"":""Color"",""variation_value"":""White Titanium""},{""variation_name"":""Capacity"",""variation_value"":""1 TB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB / 256GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB / 512GB""},{""variation_name"":""Capacity"",""variation_value"":""1024 GB""}]","[""Smartphone"",""Dual SIM"",""5G"",""Triple Lens"",""iOS"",""Facial Recognition"",""With OLED Display"",""2796 x 1290"",""Lightning"",""USB C""]","Unveiling the iPhone 15 Pro Max, a testament to Apple's relentless pursuit of perfection. Powered by the lightning-fast A17 Pro Bionic chip, this device sets new standards for performance, ensuring effortless multitasking and responsiveness that redefines what's possible in a smartphone. Prepare to be amazed by the iPhone 15 Pro Max's camera system, delivering unparalleled photographic capabilities. With a pro-grade sensor and enhanced computational photography, it captures breathtaking 4K videos and stunning photos with astounding detail and clarity. With 5G capabilities, you'll experience lightning-fast connectivity, and Face ID ensures your device and data remain uncompromisingly secure. The iPhone 15 Pro Max isn't just a smartphone; it's a technological marvel, delivering innovation, productivity, and creativity in the palm of your hand.","{'1_star': 1924, '2_stars': 346, '3_stars': 698, '4_stars': 1719, '5_stars': 24396}",647.760162412993,1894.48,"[{""specification_name"":""Operating System"",""specification_value"":""iOS""},{""specification_name"":""IP rating"",""specification_value"":""IP68""},{""specification_name"":""Internal Memory"",""specification_value"":""1 TB""},{""specification_name"":""Angle"",""specification_value"":""120o""},{""specification_name"":""Speed"",""specification_value"":""120 Hz""}]",iPhone,1924,346,698,1719,24396,2270
Apple iPhone 14 256GB Purple,"[""Our longest battery life ever"",""Emergency SOS via satellite"",""A huge leap in low-light photos"",""Big and bigger""]",4.6,27052,"[{""variation_name"":""Color"",""variation_value"":""Purple""},{""variation_name"":""Color"",""variation_value"":""(PRODUCT)RED""},{""variation_name"":""Color"",""variation_value"":""(Product)Red""},{""variation_name"":""Color"",""variation_value"":""Beige. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Black""},{""variation_name"":""Color"",""variation_value"":""Blue""},{""variation_name"":""Color"",""variation_value"":""Midnight""},{""variation_name"":""Color"",""variation_value"":""Midnight / Black""},{""variation_name"":""Color"",""variation_value"":""PRODCUT(RED). Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Prism Blue. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Red""},{""variation_name"":""Color"",""variation_value"":""Silver. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Starlight""},{""variation_name"":""Color"",""variation_value"":""Starlight, Silver. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""White""},{""variation_name"":""Color"",""variation_value"":""Yellow""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""128 GB / 128GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB / 256GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB / 512GB""}]","[""Smartphone"",""Dual SIM"",""5G"",""With Wireless Charging"",""Dual Lens"",""iOS"",""GSM"",""Facial Recognition"",""With OLED Display"",""2532 x 1170""]","IPHONE 14 PURPLE Introducing the iPhone 14 Purple, a stunning addition to the iconic iPhone series. With its sleek design and powerful performance, this device is perfect for tech enthusiasts and style seekers alike. Featuring a vibrant purple color, this iPhone 14 model stands out from the crowd, making a bold statement wherever you go. The combination of the beautiful hue and Apple's meticulous attention to detail creates a device that not only looks incredible but also feels premium in your hands. Powered by the latest technology, the iPhone 14 Purple is equipped with a lightning-fast processor, ensuring smooth multitasking and lightning-quick app launches. Whether you're streaming videos, playing graphics-intensive games, or editing photos and videos, this device can handle it all with ease. Capture every moment in stunning detail with the advanced camera system. The iPhone 14 Purple features an upgraded camera setup, delivering high-resolution photos and videos that will impress even the most discerning photographers. With features like optical image stabilization and Night Mode, you can capture clear and vibrant images in any lighting condition. Stay connected throughout the day with 5G capability, allowing you to stream, download, and share content faster than ever before. The iPhone 14 Purple also offers an impressive battery life, ensuring that you can use your device all day without worrying about running out of power. Experience the future of mobile technology with the iPhone 14 Purple. Combining style, performance, and innovation, this device is a true game-changer. Upgrade to the iPhone 14 Purple and elevate your smartphone experience to new heights.","{'1_star': 1425, '2_stars': 399, '3_stars': 841, '4_stars': 2552, '5_stars': 21835}",939.0,939.0,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2882""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1425,399,841,2552,21835,1824
Apple iPhone 12 128GB White Good,"[""6.1-inch (15.5 cm diagonal) Super Retina XDR display"",""Ceramic Shield, tougher than any smartphone glass"",""Advanced dual-camera system with (12MP) Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording"",""12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording"",""Industry-leading IP68 water resistance"",""Supports MagSafe accessories for easy attachment and faster wireless charging"",""iOS with redesigned widgets on the Home screen, all-new App Library, App Clips and more""]",4.5,43404,"[{""variation_name"":""Color"",""variation_value"":""White""},{""variation_name"":""Color"",""variation_value"":""(Product)Red""},{""variation_name"":""Color"",""variation_value"":""Black""},{""variation_name"":""Color"",""variation_value"":""Blue""},{""variation_name"":""Color"",""variation_value"":""Green""},{""variation_name"":""Color"",""variation_value"":""Lilac. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Pink. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Purple""},{""variation_name"":""Color"",""variation_value"":""Red""},{""variation_name"":""Capacity"",""variation_value"":""64 GB""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""}]","[""Smartphone"",""Single SIM"",""5G"",""With Wireless Charging"",""Dual Lens"",""iOS"",""With OLED Display"",""2532 x 1170"",""White"",""Wide Angle""]","The iPhone 12 provides the best user experience, with the A14 Bionic chip and a Super Retina XDR OLED display, protected by a new Ceramic Shield. The iPhone 12 can take superb pictures even in Night Mode with its 12-megapixel dual camera system which includes a wide and an ultra-wide angle lens. All of these exceptional features are complemented by a fresh new design, a MagSafe system designed to charge in wireless mode and support for faster 5G cellular networks.","{'1_star': 2985, '2_stars': 958, '3_stars': 1549, '4_stars': 5143, '5_stars': 32769}",647.760162412993,300.14,"[{""specification_name"":""Warranty"",""specification_value"":""12 months Warranty""},{""specification_name"":""RAM"",""specification_value"":""4GB""},{""specification_name"":""Internal"",""specification_value"":""128GB""},{""specification_name"":""Launched in India"",""specification_value"":""Yes""},{""specification_name"":""Form factor"",""specification_value"":""Touchscreen""}]",iPhone,2985,958,1549,5143,32769,3943
Apple iPhone 13 Mini - 128 GB - Blue,"[""Dual 12MP camera system"",""Cinematic mode and Photographic Styles"",""Lightning-fast A15 Bionic chip"",""Ceramic Shield front"",""Super Retina XDR display"",""Durable flat-edge design"",""Advanced 5G experience""]",4.6,6772,"[{""variation_name"":""Color"",""variation_value"":""Blue""},{""variation_name"":""Color"",""variation_value"":""(PRODUCT)RED. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Green""},{""variation_name"":""Color"",""variation_value"":""Midnight""},{""variation_name"":""Color"",""variation_value"":""Starlight""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB""}]","[""Dual SIM"",""5G"",""With Wireless Charging"",""Unlocked"",""iOS"",""GSM"",""Facial Recognition"",""Blue"",""Water Resistant""]","Iphone 13 your new superpower. Our most advanced dual‐camera system ever. Get up to 47% better low-light performance. Cinematic mode adds shallow depth of field automatically. You can also shift focus after you shoot. Up to 19 hours of video playback. A big leap in battery life. More powerful than ever before with the new a15 bionic chip and superfast 5g. Ceramic shield is tougher than any smartphone glass. And you get dust, spill, and water resistance.","{'1_star': 239, '2_stars': 126, '3_stars': 230, '4_stars': 779, '5_stars': 5398}",647.760162412993,1027.94,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2628""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""64.2 mm""}]",iPhone,239,126,230,779,5398,365
Apple iPhone 14 128GB Midnight,"[""Our longest battery life ever"",""Emergency SOS via satellite"",""A huge leap in low-light photos"",""Big and bigger""]",4.6,27052,"[{""variation_name"":""Color"",""variation_value"":""Midnight""},{""variation_name"":""Color"",""variation_value"":""(PRODUCT)RED. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""(Product)Red""},{""variation_name"":""Color"",""variation_value"":""Beige""},{""variation_name"":""Color"",""variation_value"":""Black""},{""variation_name"":""Color"",""variation_value"":""Blue""},{""variation_name"":""Color"",""variation_value"":""Midnight / Black""},{""variation_name"":""Color"",""variation_value"":""PRODCUT(RED)""},{""variation_name"":""Color"",""variation_value"":""Prism Blue""},{""variation_name"":""Color"",""variation_value"":""Purple""},{""variation_name"":""Color"",""variation_value"":""Red""},{""variation_name"":""Color"",""variation_value"":""Silver""},{""variation_name"":""Color"",""variation_value"":""Starlight""},{""variation_name"":""Color"",""variation_value"":""Starlight, Silver""},{""variation_name"":""Color"",""variation_value"":""White. Not available with current configuration.""},{""variation_name"":""Color"",""variation_value"":""Yellow""},{""variation_name"":""Capacity"",""variation_value"":""128 GB""},{""variation_name"":""Capacity"",""variation_value"":""128 GB / 128GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB""},{""variation_name"":""Capacity"",""variation_value"":""256 GB / 256GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB""},{""variation_name"":""Capacity"",""variation_value"":""512 GB / 512GB""}]","[""Smartphone"",""Dual SIM"",""5G"",""Unlocked"",""Dual Lens"",""iOS"",""GSM"",""With OLED Display"",""2532 x 1170"",""Midnight""]","OLED technology delivers incredible contrast for bright whites and true blacks. High resolution and colour accuracy make everything look sharp and true to life. True Tone makes your display easier on the eyes by adjusting to the ambient light. A new Main camera and improved image processing let you capture even more sensational shots in all kinds of light — especially low light. A15 Bionic, with a 5‐core GPU, powers all the latest features and makes graphically intense games and AR apps feel ultra fluid.","{'1_star': 1425, '2_stars': 399, '3_stars': 841, '4_stars': 2552, '5_stars': 21835}",825.0,825.0,"[{""specification_name"":""Internal Memory"",""specification_value"":""128 GB""},{""specification_name"":""Processor"",""specification_value"":""A15""},{""specification_name"":""Type of plug"",""specification_value"":""Plug EU""},{""specification_name"":""Diagonal of the screen (cm)"",""specification_value"":""15,5 cm""},{""specification_name"":""Operating System"",""specification_value"":""iOS""}]",iPhone,1425,399,841,2552,21835,1824
