title,rating,reviews_count,total_price,product_specifications,product_category,1_star,2_stars,3_stars,4_stars,5_stars,negative_reviews,cleaned_product_description,cleaned_product_details,sentiment_product_description,sentiment_product_details
Apple iPhone 15 128GB Blue,4.6,17464,1149.87,"[{""specification_name"":""Internal Memory"",""specification_value"":""128 GB""},{""specification_name"":""Type of plug"",""specification_value"":""Plug EU""}]",iPhone,1011,207,512,1338,14396,1218,"1gb extra data , become super recruiter earn rewards , earn 5 recommending friend , free eu roaming , free calls texts network","dynamic island comes iphone 15 dynamic island bubbles alerts live activities miss something else. see calling, track next ride, check flight status much more. innovative design iphone 15 features durable colour-infused glass aluminium design. splash, water dust resistant. ceramic shield front tougher smartphone glass. 15.54 cm 6.1 super retina xdr display 2x brighter sun compared iphone 14. 48mp main camera 2x telephoto 48mp main camera shoots super-high resolution. easier ever take standout photos amazing detail. 2x optical-quality telephoto lets frame perfect close-up. next-generation portraits capture portraits dramatically detail colour. tap shift focus subjects even take shot. powerhouse a16 bionic chip superfast chip powers advanced features like computational photography, fluid dynamic island transitions voice isolation phone calls. a16 bionic incredibly efficient help deliver great all-day battery life. usb-c connectivity usb-c connector lets charge mac ipad cable use charge iphone 15. even use iphone 15 charge apple watch airpods. vital safety features crash detection, iphone detect severe car crash call help t.designed make difference iphone comes privacy protections help keep control data. made recycled materials minimise environmental impact. built-in features make iphone accessible all.",0.9501,0.9907
Apple iPhone 15  - 128 GB - Green - Unlocked,4.6,17464,791.09,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2846""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Water-resistant, splash-resistant, dust-resistant""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1011,207,512,1338,14396,1218,"all-day battery life , dynamic island , tough around , display shines bright sunlight , 48mp main camera , night mode , front camera autofocused , 4k hdr videos , magical portraits , a16 bionic chip","apple iphone 15 features color-infused back glass stunning, textured matte finish, contoured edge aluminum enclosure. furthermore, dynamic island, advanced camera system designed help users take fantastic photos everyday moments lives. powerful 48mp main camera enables super-high-resolution photos 2x telephoto option give users total three optical zoom levels - like third camera. iphone 15 also introduces next generation portraits, making easier capture portraits great detail low-light performance. a16 bionic powerful, proven performance, usb c compatibility excellent durability features, iphone 15 truly powerhouse.",0.6124,0.9862
"Apple iPhone Xr - 128 GB, White",4.5,61871,504.26,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2105""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""75.7 mm""}]",iPhone,3133,1202,2374,7668,47494,4335,"every way. , liquid retina introducing advanced lcd industry. , face id face password.","fully tested data wiped. boxed new accessories including data charging cable, wall charging plug, sim extractor pin. avoid tied contract, buy iphone xr outright. featuring 6.1-inch lcd, 12-megapixel single-lens rear camera, a12 chip. iphone xr features precision-machined 7000 series aerospace-grade aluminum frame wraps around all-glass enclosure durable glass used expensive iphone xs. apple designed iphone xr six colors white, black, blue, coral, yellow, product red.",0.25,-0.296
Apple iPhone 15 Pro - 128 GB - Black Titanium,4.5,17683,1282.79,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A3102""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""70.6 mm""}]",iPhone,1407,344,639,1264,14029,1751,"6.1 super retina xdr display , triple 48mp 12mp 12mp camera system , a17 pro chip 6-core gpu , 128gb 256 512gb 1tb internal storage , ip68 water resistance , emergency sos , 5g connectivity , dual sim nano esim","apple iphone 15 pro 128gb black titanium compact device excellent cameras. thanks powerful a17 pro chip, even demanding apps respond quickly play 3d games without slowing down. take sharp photos every situation 3 cameras. telephoto lens, zoom 3 times without losing quality. give new action button function. make quickly open camera, example. quickly control apps like spotify via dynamic island, menu top screen. 128gb storage, regularly delete apps photos. choose 256gb storage, that. like watch movies series large screen choose iphone 15 pro max. iphone 15 series usb-c port, use old lightning accessories anymore.",0.3182,0.9611
Apple iPhone 15 Pro Max 1TB Black Titanium,4.6,29083,1894.48,"[{""specification_name"":""Operating System"",""specification_value"":""iOS""},{""specification_name"":""IP rating"",""specification_value"":""IP68""},{""specification_name"":""Internal Memory"",""specification_value"":""1 TB""},{""specification_name"":""Angle"",""specification_value"":""120o""},{""specification_name"":""Speed"",""specification_value"":""120 Hz""}]",iPhone,1924,346,698,1719,24396,2270,"become super recruiter earn rewards , double data , earn 5 recommending friend , free eu roaming , free calls texts network","unveiling iphone 15 pro max, testament apple relentless pursuit perfection. powered lightning-fast a17 pro bionic chip, device sets new standards performance, ensuring effortless multitasking responsiveness redefines possible smartphone. prepare amazed iphone 15 pro max camera system, delivering unparalleled photographic capabilities. pro-grade sensor enhanced computational photography, captures breathtaking 4k videos stunning photos astounding detail clarity. 5g capabilities, experience lightning-fast connectivity, face id ensures device data remain uncompromisingly secure. iphone 15 pro max smartphone technological marvel, delivering innovation, productivity, creativity palm hand.",0.9501,0.9847
Apple iPhone 14 256GB Purple,4.6,27052,939.0,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2882""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1425,399,841,2552,21835,1824,"longest battery life ever , emergency sos via satellite , huge leap low-light photos , big bigger","iphone 14 purple introducing iphone 14 purple, stunning addition iconic iphone series. sleek design powerful performance, device perfect tech enthusiasts style seekers alike. featuring vibrant purple color, iphone 14 model stands crowd, making bold statement wherever go. combination beautiful hue apple meticulous attention detail creates device looks incredible also feels premium hands. powered latest technology, iphone 14 purple equipped lightning-fast processor, ensuring smooth multitasking lightning-quick app launches. whether streaming videos, playing graphics-intensive games, editing photos videos, device handle ease. capture every moment stunning detail advanced camera system. iphone 14 purple features upgraded camera setup, delivering high-resolution photos videos impress even discerning photographers. features like optical image stabilization night mode, capture clear vibrant images lighting condition. stay connected throughout day 5g capability, allowing stream, download, share content faster ever before. iphone 14 purple also offers impressive battery life, ensuring use device day without worrying running power. experience future mobile technology iphone 14 purple. combining style, performance, innovation, device true game-changer. upgrade iphone 14 purple elevate smartphone experience new heights.",-0.0772,0.9948
Apple iPhone 12 128GB White Good,4.5,43404,300.14,"[{""specification_name"":""Warranty"",""specification_value"":""12 months Warranty""},{""specification_name"":""RAM"",""specification_value"":""4GB""},{""specification_name"":""Internal"",""specification_value"":""128GB""},{""specification_name"":""Launched in India"",""specification_value"":""Yes""},{""specification_name"":""Form factor"",""specification_value"":""Touchscreen""}]",iPhone,2985,958,1549,5143,32769,3943,"6.1-inch 15.5 cm diagonal super retina xdr display , ceramic shield, tougher smartphone glass , advanced dual-camera system 12mp ultra wide wide cameras night mode, deep fusion, smart hdr 3, 4k dolby vision hdr recording , 12mp truedepth front camera night mode, 4k dolby vision hdr recording , industry-leading ip68 water resistance , supports magsafe accessories easy attachment faster wireless charging , ios redesigned widgets home screen, all-new app library, app clips","iphone 12 provides best user experience, a14 bionic chip super retina xdr oled display, protected new ceramic shield. iphone 12 take superb pictures even night mode 12-megapixel dual camera system includes wide ultra-wide angle lens. exceptional features complemented fresh new design, magsafe system designed charge wireless mode support faster 5g cellular networks.",0.9578,0.9655
Apple iPhone 13 Mini - 128 GB - Blue,4.6,6772,1027.94,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2628""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""64.2 mm""}]",iPhone,239,126,230,779,5398,365,"dual 12mp camera system , cinematic mode photographic styles , lightning-fast a15 bionic chip , ceramic shield front , super retina xdr display , durable flat-edge design , advanced 5g experience","iphone 13 new superpower. advanced dual camera system ever. get 47% better low-light performance. cinematic mode adds shallow depth field automatically. also shift focus shoot. 19 hours video playback. big leap battery life. powerful ever new a15 bionic chip superfast 5g. ceramic shield tougher smartphone glass. get dust, spill, water resistance.",0.7096,0.7184
Apple iPhone 14 128GB Midnight,4.6,27052,825.0,"[{""specification_name"":""Internal Memory"",""specification_value"":""128 GB""},{""specification_name"":""Processor"",""specification_value"":""A15""},{""specification_name"":""Type of plug"",""specification_value"":""Plug EU""},{""specification_name"":""Diagonal of the screen (cm)"",""specification_value"":""15,5 cm""},{""specification_name"":""Operating System"",""specification_value"":""iOS""}]",iPhone,1425,399,841,2552,21835,1824,"longest battery life ever , emergency sos via satellite , huge leap low-light photos , big bigger","oled technology delivers incredible contrast bright whites true blacks. high resolution colour accuracy make everything look sharp true life. true tone makes display easier eyes adjusting ambient light. new main camera improved image processing let capture even sensational shots kinds light especially low light. a15 bionic, 5 core gpu, powers latest features makes graphically intense games ar apps feel ultra fluid.",-0.0772,0.937
Apple iPhone 12 Mini 128GB (product) Red de,4.5,17451,545.37,"[{""specification_name"":""Subscription type"",""specification_value"":""No subscription""},{""specification_name"":""Operating temperature (TT)"",""specification_value"":""0 - 35 °C""}]",iPhone,1100,393,669,2334,12955,1493,"35 c storage temperature t-t -20 , 45 c operating relative humidity h-h 5 , 95% operating altitude 0","new iphone 12 models characterised large-scale all-screen super retina xdr displays better, immersive viewing content. new ceramic shield front biggest advance durability iphone. a14 bionic chip, developed apple, runs applications iphone 12. combination two-camera system, enables meaningful new computer-supported photography video functions highest quality smartphone. iphone 12 models also feature magsafe, technology enables powerful wireless charging new ecosystem accessories easily attached iphone. 5g iphone offers improved speeds faster downloads uploads, higher-quality video streaming, smooth gaming, real-time app interactivity, facetime hd more.",0.0,0.9468
