,title,product_description,rating,reviews_count,product_details,total_price,product_specifications,product_category,1_star,2_stars,3_stars,4_stars,5_stars,negative_reviews,cleaned_product_description,cleaned_product_details
0,Apple iPhone 15 128GB Blue,"[""1GB Extra Data"",""Become a Super Recruiter and earn rewards"",""Earn £5 when recommending a friend"",""Free EU Roaming"",""Free calls and texts to same network""]",4.6,17464,"Dynamic Island Comes To iphone 15 Dynamic Island bubbles up alerts and Live Activities so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status and so much more. Innovative Design iphone 15 features a durable colour-infused glass and aluminium design. It’s splash, water and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 15.54 cm (6.1 in) Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14. 48mp Main Camera With 2x Telephoto The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up. Next-Generation Portraits Capture portraits with dramatically more detail and colour. Just tap to shift the focus between subjects even after you take the shot. Powerhouse A16 Bionic Chip The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life. USB-C Connectivity The USB-C connector lets you charge your Mac or iPad with the same cable you use to charge iphone 15. You can even use iphone 15 to charge Apple Watch or AirPods. Vital Safety Features With Crash Detection, iPhone can detect a severe car crash and call for help if you can’t.Designed To Make A Difference iPhone comes with privacy protections that help keep you in control of your data. It’s made from more recycled materials to minimise environmental impact. And it has built-in features that make iPhone more accessible to all.",1149.87,"[{""specification_name"":""Internal Memory"",""specification_value"":""128 GB""},{""specification_name"":""Type of plug"",""specification_value"":""Plug EU""}]",iPhone,1011,207,512,1338,14396,1218,"1gb extra data , become super recruiter earn rewards , earn 5 recommending friend , free eu roaming , free calls texts network","dynamic island comes iphone 15 dynamic island bubbles alerts live activities miss something else. see calling, track next ride, check flight status much more. innovative design iphone 15 features durable colour-infused glass aluminium design. splash, water dust resistant. ceramic shield front tougher smartphone glass. 15.54 cm 6.1 super retina xdr display 2x brighter sun compared iphone 14. 48mp main camera 2x telephoto 48mp main camera shoots super-high resolution. easier ever take standout photos amazing detail. 2x optical-quality telephoto lets frame perfect close-up. next-generation portraits capture portraits dramatically detail colour. tap shift focus subjects even take shot. powerhouse a16 bionic chip superfast chip powers advanced features like computational photography, fluid dynamic island transitions voice isolation phone calls. a16 bionic incredibly efficient help deliver great all-day battery life. usb-c connectivity usb-c connector lets charge mac ipad cable use charge iphone 15. even use iphone 15 charge apple watch airpods. vital safety features crash detection, iphone detect severe car crash call help t.designed make difference iphone comes privacy protections help keep control data. made recycled materials minimise environmental impact. built-in features make iphone accessible all."
2,Apple iPhone 15  - 128 GB - Green - Unlocked,"[""All-day battery life"",""Dynamic Island"",""Tough all around"",""A display that shines in bright sunlight"",""48MP main camera"",""Night mode"",""A front camera autofocused on you"",""4K HDR videos"",""Magical portraits"",""A16 Bionic chip""]",4.6,17464,"The Apple iPhone 15 features color-infused back glass with a stunning, textured matte finish, and a contoured edge on the aluminum enclosure. Furthermore, there is Dynamic Island, and an advanced camera system designed to help users take fantastic photos of everyday moments in their lives. A powerful 48MP main camera enables super-high-resolution photos and a 2x telephoto option to give users a total of three optical zoom levels - like having a third camera. The iPhone 15 also introduces the next generation of portraits, making it easier to capture portraits with great detail and low-light performance. With A16 Bionic for powerful, proven performance, USB‐C compatibility and excellent durability features, iPhone 15 is truly a powerhouse.",791.09,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2846""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Water-resistant, splash-resistant, dust-resistant""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1011,207,512,1338,14396,1218,"all-day battery life , dynamic island , tough around , display shines bright sunlight , 48mp main camera , night mode , front camera autofocused , 4k hdr videos , magical portraits , a16 bionic chip","apple iphone 15 features color-infused back glass stunning, textured matte finish, contoured edge aluminum enclosure. furthermore, dynamic island, advanced camera system designed help users take fantastic photos everyday moments lives. powerful 48mp main camera enables super-high-resolution photos 2x telephoto option give users total three optical zoom levels - like third camera. iphone 15 also introduces next generation portraits, making easier capture portraits great detail low-light performance. a16 bionic powerful, proven performance, usb c compatibility excellent durability features, iphone 15 truly powerhouse."
3,"Apple iPhone Xr - 128 GB, White","[""In every way."",""Liquid Retina Introducing the most advanced LCD in the industry."",""Face ID Your face is your password.""]",4.5,61871,"Fully tested and Data wiped. Re boxed with new accessories including data charging cable, wall charging plug, sim extractor pin. Avoid being tied into a contract, buy the iPhone XR outright. Featuring a 6.1-inch LCD, a 12-megapixel single-lens rear camera, and an A12 chip. The iPhone XR features a precision-machined 7000 Series aerospace-grade aluminum frame that wraps around an all-glass enclosure with the same durable glass used in the more expensive iPhone XS. Apple designed the iPhone XR in six colors : white, black, blue, coral, yellow, and (PRODUCT)RED.",504.26,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2105""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""75.7 mm""}]",iPhone,3133,1202,2374,7668,47494,4335,"every way. , liquid retina introducing advanced lcd industry. , face id face password.","fully tested data wiped. boxed new accessories including data charging cable, wall charging plug, sim extractor pin. avoid tied contract, buy iphone xr outright. featuring 6.1-inch lcd, 12-megapixel single-lens rear camera, a12 chip. iphone xr features precision-machined 7000 series aerospace-grade aluminum frame wraps around all-glass enclosure durable glass used expensive iphone xs. apple designed iphone xr six colors white, black, blue, coral, yellow, product red."
4,Apple iPhone 15 Pro - 128 GB - Black Titanium,"[""6.1\"" Super Retina XDR display"",""Triple 48MP + 12MP + 12MP Camera System"",""A17 Pro chip with 6-Core GPU"",""128GB / 256 /512GB / 1TB Internal Storage"",""IP68 Water Resistance"",""Emergency SOS"",""5G Connectivity"",""Dual SIM Nano + eSIM""]",4.5,17683,"The Apple iPhone 15 Pro 128GB Black Titanium is a compact device with excellent cameras. Thanks to the powerful A17 Pro chip, even the most demanding apps respond quickly and you can play 3D games without slowing down. You can take sharp photos in every situation with the 3 cameras. With the telephoto lens, you can zoom in up to 3 times without losing quality. You can give the new action button a function. You can make it quickly open your camera, for example. You can quickly control apps like Spotify via Dynamic Island, the menu at the top of your screen. You only have 128GB storage, so you regularly have to delete apps and photos. If you choose the 256GB storage, you don't have to do that. Do you like to watch movies and series on a large screen? Choose the iPhone 15 Pro Max. The iPhone 15 series has a USB-C port, so you can't use your old Lightning accessories anymore.",1282.79,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A3102""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""70.6 mm""}]",iPhone,1407,344,639,1264,14029,1751,"6.1 super retina xdr display , triple 48mp 12mp 12mp camera system , a17 pro chip 6-core gpu , 128gb 256 512gb 1tb internal storage , ip68 water resistance , emergency sos , 5g connectivity , dual sim nano esim","apple iphone 15 pro 128gb black titanium compact device excellent cameras. thanks powerful a17 pro chip, even demanding apps respond quickly play 3d games without slowing down. take sharp photos every situation 3 cameras. telephoto lens, zoom 3 times without losing quality. give new action button function. make quickly open camera, example. quickly control apps like spotify via dynamic island, menu top screen. 128gb storage, regularly delete apps photos. choose 256gb storage, that. like watch movies series large screen choose iphone 15 pro max. iphone 15 series usb-c port, use old lightning accessories anymore."
5,Apple iPhone 15 Pro Max 1TB Black Titanium,"[""Become a Super Recruiter and earn rewards"",""Double Data"",""Earn £5 when recommending a friend"",""Free EU Roaming"",""Free calls and texts to same network""]",4.6,29083,"Unveiling the iPhone 15 Pro Max, a testament to Apple's relentless pursuit of perfection. Powered by the lightning-fast A17 Pro Bionic chip, this device sets new standards for performance, ensuring effortless multitasking and responsiveness that redefines what's possible in a smartphone. Prepare to be amazed by the iPhone 15 Pro Max's camera system, delivering unparalleled photographic capabilities. With a pro-grade sensor and enhanced computational photography, it captures breathtaking 4K videos and stunning photos with astounding detail and clarity. With 5G capabilities, you'll experience lightning-fast connectivity, and Face ID ensures your device and data remain uncompromisingly secure. The iPhone 15 Pro Max isn't just a smartphone; it's a technological marvel, delivering innovation, productivity, and creativity in the palm of your hand.",1894.48,"[{""specification_name"":""Operating System"",""specification_value"":""iOS""},{""specification_name"":""IP rating"",""specification_value"":""IP68""},{""specification_name"":""Internal Memory"",""specification_value"":""1 TB""},{""specification_name"":""Angle"",""specification_value"":""120o""},{""specification_name"":""Speed"",""specification_value"":""120 Hz""}]",iPhone,1924,346,698,1719,24396,2270,"become super recruiter earn rewards , double data , earn 5 recommending friend , free eu roaming , free calls texts network","unveiling iphone 15 pro max, testament apple relentless pursuit perfection. powered lightning-fast a17 pro bionic chip, device sets new standards performance, ensuring effortless multitasking responsiveness redefines possible smartphone. prepare amazed iphone 15 pro max camera system, delivering unparalleled photographic capabilities. pro-grade sensor enhanced computational photography, captures breathtaking 4k videos stunning photos astounding detail clarity. 5g capabilities, experience lightning-fast connectivity, face id ensures device data remain uncompromisingly secure. iphone 15 pro max smartphone technological marvel, delivering innovation, productivity, creativity palm hand."
6,Apple iPhone 14 256GB Purple,"[""Our longest battery life ever"",""Emergency SOS via satellite"",""A huge leap in low-light photos"",""Big and bigger""]",4.6,27052,"IPHONE 14 PURPLE Introducing the iPhone 14 Purple, a stunning addition to the iconic iPhone series. With its sleek design and powerful performance, this device is perfect for tech enthusiasts and style seekers alike. Featuring a vibrant purple color, this iPhone 14 model stands out from the crowd, making a bold statement wherever you go. The combination of the beautiful hue and Apple's meticulous attention to detail creates a device that not only looks incredible but also feels premium in your hands. Powered by the latest technology, the iPhone 14 Purple is equipped with a lightning-fast processor, ensuring smooth multitasking and lightning-quick app launches. Whether you're streaming videos, playing graphics-intensive games, or editing photos and videos, this device can handle it all with ease. Capture every moment in stunning detail with the advanced camera system. The iPhone 14 Purple features an upgraded camera setup, delivering high-resolution photos and videos that will impress even the most discerning photographers. With features like optical image stabilization and Night Mode, you can capture clear and vibrant images in any lighting condition. Stay connected throughout the day with 5G capability, allowing you to stream, download, and share content faster than ever before. The iPhone 14 Purple also offers an impressive battery life, ensuring that you can use your device all day without worrying about running out of power. Experience the future of mobile technology with the iPhone 14 Purple. Combining style, performance, and innovation, this device is a true game-changer. Upgrade to the iPhone 14 Purple and elevate your smartphone experience to new heights.",939.0,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2882""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1425,399,841,2552,21835,1824,"longest battery life ever , emergency sos via satellite , huge leap low-light photos , big bigger","iphone 14 purple introducing iphone 14 purple, stunning addition iconic iphone series. sleek design powerful performance, device perfect tech enthusiasts style seekers alike. featuring vibrant purple color, iphone 14 model stands crowd, making bold statement wherever go. combination beautiful hue apple meticulous attention detail creates device looks incredible also feels premium hands. powered latest technology, iphone 14 purple equipped lightning-fast processor, ensuring smooth multitasking lightning-quick app launches. whether streaming videos, playing graphics-intensive games, editing photos videos, device handle ease. capture every moment stunning detail advanced camera system. iphone 14 purple features upgraded camera setup, delivering high-resolution photos videos impress even discerning photographers. features like optical image stabilization night mode, capture clear vibrant images lighting condition. stay connected throughout day 5g capability, allowing stream, download, share content faster ever before. iphone 14 purple also offers impressive battery life, ensuring use device day without worrying running power. experience future mobile technology iphone 14 purple. combining style, performance, innovation, device true game-changer. upgrade iphone 14 purple elevate smartphone experience new heights."
7,Apple iPhone 12 128GB White Good,"[""6.1-inch (15.5 cm diagonal) Super Retina XDR display"",""Ceramic Shield, tougher than any smartphone glass"",""Advanced dual-camera system with (12MP) Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording"",""12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording"",""Industry-leading IP68 water resistance"",""Supports MagSafe accessories for easy attachment and faster wireless charging"",""iOS with redesigned widgets on the Home screen, all-new App Library, App Clips and more""]",4.5,43404,"The iPhone 12 provides the best user experience, with the A14 Bionic chip and a Super Retina XDR OLED display, protected by a new Ceramic Shield. The iPhone 12 can take superb pictures even in Night Mode with its 12-megapixel dual camera system which includes a wide and an ultra-wide angle lens. All of these exceptional features are complemented by a fresh new design, a MagSafe system designed to charge in wireless mode and support for faster 5G cellular networks.",300.14,"[{""specification_name"":""Warranty"",""specification_value"":""12 months Warranty""},{""specification_name"":""RAM"",""specification_value"":""4GB""},{""specification_name"":""Internal"",""specification_value"":""128GB""},{""specification_name"":""Launched in India"",""specification_value"":""Yes""},{""specification_name"":""Form factor"",""specification_value"":""Touchscreen""}]",iPhone,2985,958,1549,5143,32769,3943,"6.1-inch 15.5 cm diagonal super retina xdr display , ceramic shield, tougher smartphone glass , advanced dual-camera system 12mp ultra wide wide cameras night mode, deep fusion, smart hdr 3, 4k dolby vision hdr recording , 12mp truedepth front camera night mode, 4k dolby vision hdr recording , industry-leading ip68 water resistance , supports magsafe accessories easy attachment faster wireless charging , ios redesigned widgets home screen, all-new app library, app clips","iphone 12 provides best user experience, a14 bionic chip super retina xdr oled display, protected new ceramic shield. iphone 12 take superb pictures even night mode 12-megapixel dual camera system includes wide ultra-wide angle lens. exceptional features complemented fresh new design, magsafe system designed charge wireless mode support faster 5g cellular networks."
8,Apple iPhone 13 Mini - 128 GB - Blue,"[""Dual 12MP camera system"",""Cinematic mode and Photographic Styles"",""Lightning-fast A15 Bionic chip"",""Ceramic Shield front"",""Super Retina XDR display"",""Durable flat-edge design"",""Advanced 5G experience""]",4.6,6772,"Iphone 13 your new superpower. Our most advanced dual‐camera system ever. Get up to 47% better low-light performance. Cinematic mode adds shallow depth of field automatically. You can also shift focus after you shoot. Up to 19 hours of video playback. A big leap in battery life. More powerful than ever before with the new a15 bionic chip and superfast 5g. Ceramic shield is tougher than any smartphone glass. And you get dust, spill, and water resistance.",1027.94,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2628""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""64.2 mm""}]",iPhone,239,126,230,779,5398,365,"dual 12mp camera system , cinematic mode photographic styles , lightning-fast a15 bionic chip , ceramic shield front , super retina xdr display , durable flat-edge design , advanced 5g experience","iphone 13 new superpower. advanced dual camera system ever. get 47% better low-light performance. cinematic mode adds shallow depth field automatically. also shift focus shoot. 19 hours video playback. big leap battery life. powerful ever new a15 bionic chip superfast 5g. ceramic shield tougher smartphone glass. get dust, spill, water resistance."
9,Apple iPhone 14 128GB Midnight,"[""Our longest battery life ever"",""Emergency SOS via satellite"",""A huge leap in low-light photos"",""Big and bigger""]",4.6,27052,"OLED technology delivers incredible contrast for bright whites and true blacks. High resolution and colour accuracy make everything look sharp and true to life. True Tone makes your display easier on the eyes by adjusting to the ambient light. A new Main camera and improved image processing let you capture even more sensational shots in all kinds of light — especially low light. A15 Bionic, with a 5‐core GPU, powers all the latest features and makes graphically intense games and AR apps feel ultra fluid.",825.0,"[{""specification_name"":""Internal Memory"",""specification_value"":""128 GB""},{""specification_name"":""Processor"",""specification_value"":""A15""},{""specification_name"":""Type of plug"",""specification_value"":""Plug EU""},{""specification_name"":""Diagonal of the screen (cm)"",""specification_value"":""15,5 cm""},{""specification_name"":""Operating System"",""specification_value"":""iOS""}]",iPhone,1425,399,841,2552,21835,1824,"longest battery life ever , emergency sos via satellite , huge leap low-light photos , big bigger","oled technology delivers incredible contrast bright whites true blacks. high resolution colour accuracy make everything look sharp true life. true tone makes display easier eyes adjusting ambient light. new main camera improved image processing let capture even sensational shots kinds light especially low light. a15 bionic, 5 core gpu, powers latest features makes graphically intense games ar apps feel ultra fluid."
10,Apple iPhone 12 Mini 128GB (product) Red de,"[""35 °C Storage temperature (T-T): -20"",""45 °C Operating relative humidity (H-H): 5"",""95% Operating altitude: 0""]",4.5,17451,"The new iPhone 12 models are characterised by large-scale All-Screen Super Retina XDR Displays for better, more immersive viewing of the content. The new ceramic shield front is the biggest advance in the durability of the iPhone. The A14 Bionic Chip, developed by Apple, runs all applications of the iPhone 12. In combination with the two-camera system, it enables meaningful new computer-supported photography and video functions in the highest quality on a smartphone. The iPhone 12 models also feature MagSafe, a technology that enables powerful wireless charging and the new ecosystem of accessories that can be easily attached to the iPhone. 5G on iPhone offers improved speeds for faster downloads and uploads, higher-quality video streaming, smooth gaming, real-time app interactivity, FaceTime in HD and more.",545.37,"[{""specification_name"":""Subscription type"",""specification_value"":""No subscription""},{""specification_name"":""Operating temperature (TT)"",""specification_value"":""0 - 35 °C""}]",iPhone,1100,393,669,2334,12955,1493,"35 c storage temperature t-t -20 , 45 c operating relative humidity h-h 5 , 95% operating altitude 0","new iphone 12 models characterised large-scale all-screen super retina xdr displays better, immersive viewing content. new ceramic shield front biggest advance durability iphone. a14 bionic chip, developed apple, runs applications iphone 12. combination two-camera system, enables meaningful new computer-supported photography video functions highest quality smartphone. iphone 12 models also feature magsafe, technology enables powerful wireless charging new ecosystem accessories easily attached iphone. 5g iphone offers improved speeds faster downloads uploads, higher-quality video streaming, smooth gaming, real-time app interactivity, facetime hd more."
